,ID,entrez_id
0,DB00001,2147.0
1,DB00002,1956.0
2,DB00002,2215.0
3,DB00002,715.0
4,DB00002,712.0
5,DB00002,713.0
6,DB00002,714.0
7,DB00002,2214.0
8,DB00002,716.0
9,DB00002,2209.0
10,DB00002,2212.0
11,DB00002,2213.0
12,DB00002,9103.0
13,DB00004,3559.0
14,DB00004,3560.0
15,DB00004,3561.0
16,DB00005,7124.0
17,DB00005,7133.0
18,DB00005,2209.0
19,DB00005,2214.0
20,DB00005,2212.0
21,DB00005,2213.0
22,DB00005,9103.0
23,DB00005,4049.0
24,DB00005,2215.0
25,DB00005,716.0
26,DB00005,715.0
27,DB00005,712.0
28,DB00005,713.0
29,DB00005,714.0
30,DB00006,2147.0
31,DB00006,4353.0
32,DB00007,2798.0
33,DB00007,1576.0
34,DB00008,3455.0
35,DB00008,3454.0
36,DB00008,1544.0
37,DB00009,5340.0
38,DB00009,2243.0
39,DB00009,5329.0
40,DB00009,5054.0
41,DB00010,2692.0
42,DB00011,3455.0
43,DB00011,3454.0
44,DB00012,2057.0
45,DB00013,5340.0
46,DB00013,5329.0
47,DB00013,5328.0
48,DB00013,5327.0
49,DB00013,5054.0
50,DB00013,5055.0
51,DB00013,5104.0
52,DB00013,4036.0
53,DB00013,6768.0
54,DB00013,4811.0
55,DB00014,3973.0
56,DB00014,2798.0
57,DB00015,5340.0
58,DB00015,2243.0
59,DB00015,5329.0
60,DB00015,5054.0
61,DB00016,2057.0
62,DB00017,799.0
63,DB00018,3454.0
64,DB00018,3455.0
65,DB00019,1441.0
66,DB00019,1991.0
67,DB00020,1438.0
68,DB00020,3563.0
69,DB00020,1439.0
70,DB00020,6383.0
71,DB00020,5553.0
72,DB00022,3454.0
73,DB00022,3455.0
74,DB00022,1544.0
75,DB00022,1565.0
76,DB00022,1559.0
77,DB00023,6906.0
78,DB00024,7253.0
79,DB00025,2159.0
80,DB00025,2158.0
81,DB00025,7450.0
82,DB00025,5264.0
83,DB00025,433.0
84,DB00025,3309.0
85,DB00025,811.0
86,DB00025,821.0
87,DB00025,3998.0
88,DB00025,4035.0
89,DB00025,90411.0
90,DB00025,2147.0
91,DB00025,5624.0
92,DB00026,3554.0
93,DB00027,5243.0
94,DB00028,2209.0
96,DB00028,2212.0
97,DB00028,2213.0
98,DB00028,9103.0
99,DB00028,2214.0
100,DB00028,2215.0
101,DB00028,718.0
102,DB00028,720.0
103,DB00028,721.0
104,DB00028,727.0
105,DB00029,5340.0
106,DB00029,2243.0
107,DB00029,5329.0
108,DB00029,5054.0
109,DB00030,3643.0
110,DB00030,3480.0
111,DB00030,5925.0
112,DB00030,3416.0
113,DB00030,5126.0
114,DB00030,1363.0
115,DB00030,5122.0
116,DB00031,5340.0
117,DB00031,2243.0
118,DB00031,5329.0
119,DB00031,5054.0
120,DB00031,5055.0
121,DB00031,7123.0
122,DB00031,3856.0
123,DB00031,302.0
124,DB00031,811.0
125,DB00031,821.0
126,DB00031,4035.0
127,DB00032,2492.0
128,DB00032,3973.0
129,DB00033,3459.0
130,DB00033,3460.0
131,DB00034,3454.0
132,DB00034,3455.0
133,DB00035,554.0
134,DB00035,552.0
135,DB00035,553.0
136,DB00035,5742.0
137,DB00035,5743.0
138,DB00036,2159.0
139,DB00036,3249.0
140,DB00036,7035.0
141,DB00036,2677.0
142,DB00036,2155.0
143,DB00036,2152.0
144,DB00038,3590.0
145,DB00039,2263.0
146,DB00039,8829.0
147,DB00039,2260.0
148,DB00039,2264.0
149,DB00039,2261.0
150,DB00039,3339.0
151,DB00040,2642.0
152,DB00040,9340.0
153,DB00040,2740.0
154,DB00041,3560.0
155,DB00041,3559.0
156,DB00041,3561.0
157,DB00041,5743.0
158,DB00041,5321.0
159,DB00041,1576.0
160,DB00041,7498.0
161,DB00041,1571.0
162,DB00042,6844.0
163,DB00042,6843.0
164,DB00042,127833.0
165,DB00043,2205.0
166,DB00043,2206.0
167,DB00044,3973.0
168,DB00045,7097.0
169,DB00046,3643.0
170,DB00046,3480.0
171,DB00047,3643.0
172,DB00047,3480.0
173,DB00048,1277.0
174,DB00048,1280.0
175,DB00048,1281.0
176,DB00048,1278.0
177,DB00050,2798.0
178,DB00050,3973.0
179,DB00051,7124.0
180,DB00052,2690.0
181,DB00052,5618.0
182,DB00054,3690.0
183,DB00054,3674.0
184,DB00054,2215.0
185,DB00054,715.0
186,DB00054,712.0
187,DB00054,713.0
188,DB00054,714.0
189,DB00054,2214.0
190,DB00054,716.0
191,DB00054,2209.0
192,DB00054,2212.0
193,DB00054,2213.0
194,DB00054,9103.0
195,DB00054,7448.0
196,DB00055,2157.0
197,DB00055,2153.0
198,DB00055,5054.0
199,DB00055,7056.0
200,DB00055,5627.0
201,DB00055,1356.0
202,DB00055,2147.0
203,DB00055,5196.0
204,DB00055,5104.0
205,DB00055,5269.0
206,DB00055,2677.0
207,DB00055,10544.0
208,DB00056,945.0
209,DB00056,2215.0
210,DB00056,715.0
211,DB00056,712.0
212,DB00056,713.0
213,DB00056,714.0
214,DB00056,2214.0
215,DB00056,716.0
216,DB00056,2209.0
217,DB00056,2212.0
218,DB00056,2213.0
219,DB00056,9103.0
220,DB00058,1991.0
221,DB00059,6906.0
222,DB00060,3454.0
223,DB00060,3455.0
224,DB00061,2885.0
225,DB00063,3690.0
226,DB00065,7124.0
227,DB00066,2492.0
228,DB00067,554.0
229,DB00067,552.0
230,DB00067,553.0
231,DB00067,1244.0
232,DB00068,3454.0
233,DB00068,3455.0
234,DB00069,3454.0
235,DB00069,3455.0
236,DB00070,7040.0
237,DB00070,213.0
238,DB00071,3643.0
239,DB00071,3480.0
240,DB00071,3416.0
241,DB00071,3118.0
242,DB00071,3119.0
243,DB00071,5925.0
244,DB00071,1509.0
245,DB00071,1363.0
246,DB00071,5126.0
247,DB00071,5122.0
249,DB00071,4036.0
250,DB00071,3490.0
251,DB00071,94121.0
252,DB00072,2064.0
253,DB00072,1956.0
254,DB00072,715.0
255,DB00072,712.0
256,DB00072,713.0
257,DB00072,714.0
258,DB00072,716.0
259,DB00072,2209.0
260,DB00072,2212.0
261,DB00072,2213.0
262,DB00072,9103.0
263,DB00072,2215.0
264,DB00072,2214.0
265,DB00072,1588.0
266,DB00073,931.0
267,DB00074,3559.0
268,DB00074,3560.0
269,DB00074,2209.0
270,DB00074,2214.0
271,DB00074,2212.0
272,DB00074,2213.0
273,DB00074,9103.0
274,DB00074,2215.0
275,DB00074,716.0
276,DB00074,715.0
277,DB00074,712.0
278,DB00074,713.0
279,DB00074,714.0
280,DB00075,915.0
281,DB00075,916.0
282,DB00075,917.0
283,DB00075,919.0
284,DB00075,2215.0
285,DB00075,715.0
286,DB00075,712.0
287,DB00075,713.0
288,DB00075,714.0
289,DB00075,2214.0
290,DB00075,716.0
291,DB00075,2209.0
292,DB00075,2212.0
293,DB00075,2213.0
294,DB00075,9103.0
295,DB00078,931.0
296,DB00078,2215.0
297,DB00078,715.0
298,DB00078,712.0
299,DB00078,713.0
300,DB00078,714.0
301,DB00078,2214.0
302,DB00078,716.0
303,DB00078,2209.0
304,DB00078,2212.0
305,DB00078,2213.0
306,DB00078,9103.0
307,DB00081,931.0
308,DB00081,2215.0
309,DB00081,715.0
310,DB00081,712.0
311,DB00081,713.0
312,DB00081,714.0
313,DB00081,2214.0
314,DB00081,2209.0
315,DB00081,2212.0
316,DB00081,2213.0
317,DB00081,9103.0
318,DB00082,2690.0
319,DB00082,1593.0
320,DB00082,2752.0
321,DB00082,1562.0
322,DB00082,1576.0
323,DB00082,590.0
324,DB00082,1557.0
325,DB00082,1579.0
326,DB00083,6616.0
327,DB00083,388.0
328,DB00086,5340.0
329,DB00086,2149.0
330,DB00086,5321.0
331,DB00087,1043.0
332,DB00087,2215.0
333,DB00087,715.0
334,DB00087,712.0
335,DB00087,713.0
336,DB00087,714.0
337,DB00087,2214.0
338,DB00087,2209.0
339,DB00087,2212.0
340,DB00087,2213.0
341,DB00087,9103.0
342,DB00089,2346.0
343,DB00091,819.0
344,DB00091,5535.0
345,DB00091,5478.0
346,DB00091,10105.0
347,DB00091,1551.0
348,DB00091,1577.0
349,DB00091,1576.0
350,DB00091,1557.0
351,DB00091,1558.0
352,DB00091,1559.0
353,DB00091,1565.0
354,DB00091,5243.0
355,DB00091,8714.0
356,DB00091,8647.0
357,DB00091,6579.0
358,DB00091,6555.0
359,DB00091,6554.0
360,DB00091,9356.0
361,DB00091,89845.0
362,DB00091,1244.0
363,DB00091,9429.0
364,DB00091,10599.0
366,DB00092,914.0
367,DB00092,715.0
368,DB00092,712.0
369,DB00092,713.0
370,DB00092,714.0
371,DB00092,2214.0
372,DB00092,2209.0
373,DB00092,2212.0
374,DB00092,2213.0
375,DB00092,9103.0
376,DB00092,2215.0
377,DB00093,552.0
378,DB00094,2492.0
379,DB00095,3683.0
380,DB00095,2215.0
381,DB00095,715.0
382,DB00095,712.0
383,DB00095,713.0
384,DB00095,714.0
385,DB00095,2214.0
386,DB00095,2209.0
387,DB00095,2212.0
388,DB00095,2213.0
389,DB00095,9103.0
390,DB00097,3973.0
391,DB00097,2492.0
392,DB00098,909.0
393,DB00098,3140.0
394,DB00098,3683.0
395,DB00098,942.0
396,DB00098,2213.0
397,DB00098,920.0
398,DB00098,3688.0
399,DB00098,3685.0
400,DB00098,3690.0
401,DB00099,1441.0
402,DB00099,1991.0
403,DB00100,2159.0
404,DB00100,2160.0
405,DB00100,2155.0
406,DB00100,2157.0
407,DB00100,2147.0
408,DB00100,4035.0
409,DB00100,2677.0
410,DB00102,5159.0
411,DB00102,5156.0
412,DB00102,2.0
