,ID,entrez_id
0,DB00001,2147
1,DB00002,1956
2,DB00002,2215
3,DB00002,715
4,DB00002,712
5,DB00002,713
6,DB00002,714
7,DB00002,2214
8,DB00002,716
9,DB00002,2209
10,DB00002,2212
11,DB00002,2213
12,DB00002,9103
13,DB00004,3559
14,DB00004,3560
15,DB00004,3561
16,DB00005,7124
17,DB00005,7133
18,DB00005,2209
19,DB00005,2214
20,DB00005,2212
21,DB00005,2213
22,DB00005,9103
23,DB00005,4049
24,DB00005,2215
25,DB00005,716
26,DB00005,715
27,DB00005,712
28,DB00005,713
29,DB00005,714
30,DB00006,2147
31,DB00006,4353
32,DB00007,2798
33,DB00007,1576
34,DB00008,3455
35,DB00008,3454
36,DB00008,1544
37,DB00009,5340
38,DB00009,2243
39,DB00009,5329
40,DB00009,5054
41,DB00010,2692
42,DB00011,3455
43,DB00011,3454
44,DB00012,2057
45,DB00013,5340
46,DB00013,5329
47,DB00013,5328
48,DB00013,5327
49,DB00013,5054
50,DB00013,5055
51,DB00013,5104
52,DB00013,4036
53,DB00013,6768
54,DB00013,4811
55,DB00014,3973
56,DB00014,2798
57,DB00015,5340
58,DB00015,2243
59,DB00015,5329
60,DB00015,5054
61,DB00016,2057
62,DB00017,799
63,DB00018,3454
64,DB00018,3455
65,DB00019,1441
66,DB00019,1991
67,DB00020,1438
68,DB00020,3563
69,DB00020,1439
70,DB00020,6383
71,DB00020,5553
72,DB00022,3454
73,DB00022,3455
74,DB00022,1544
75,DB00022,1565
76,DB00022,1559
77,DB00023,6906
78,DB00024,7253
79,DB00025,2159
80,DB00025,2158
81,DB00025,7450
82,DB00025,5264
83,DB00025,433
84,DB00025,3309
85,DB00025,811
86,DB00025,821
87,DB00025,3998
88,DB00025,4035
89,DB00025,90411
90,DB00025,2147
91,DB00025,5624
92,DB00026,3554
93,DB00027,5243
94,DB00028,2209
95,DB00028,2210
96,DB00028,2212
97,DB00028,2213
98,DB00028,9103
99,DB00028,2214
100,DB00028,2215
101,DB00028,718
102,DB00028,720
103,DB00028,721
104,DB00028,727
105,DB00029,5340
106,DB00029,2243
107,DB00029,5329
108,DB00029,5054
109,DB00030,3643
110,DB00030,3480
111,DB00030,5925
112,DB00030,3416
113,DB00030,5126
114,DB00030,1363
115,DB00030,5122
116,DB00031,5340
117,DB00031,2243
118,DB00031,5329
119,DB00031,5054
120,DB00031,5055
121,DB00031,7123
122,DB00031,3856
123,DB00031,302
124,DB00031,811
125,DB00031,821
126,DB00031,4035
127,DB00032,2492
128,DB00032,3973
129,DB00033,3459
130,DB00033,3460
131,DB00034,3454
132,DB00034,3455
133,DB00035,554
134,DB00035,552
135,DB00035,553
136,DB00035,5742
137,DB00035,5743
138,DB00036,2159
139,DB00036,3249
140,DB00036,7035
141,DB00036,2677
142,DB00036,2155
143,DB00036,2152
144,DB00038,3590
145,DB00039,2263
146,DB00039,8829
147,DB00039,2260
148,DB00039,2264
149,DB00039,2261
150,DB00039,3339
151,DB00040,2642
152,DB00040,9340
153,DB00040,2740
154,DB00041,3560
155,DB00041,3559
156,DB00041,3561
157,DB00041,5743
158,DB00041,5321
159,DB00041,1576
160,DB00041,7498
161,DB00041,1571
162,DB00042,6844
163,DB00042,6843
164,DB00042,127833
165,DB00043,2205
166,DB00043,2206
167,DB00044,3973
168,DB00045,7097
169,DB00046,3643
170,DB00046,3480
171,DB00047,3643
172,DB00047,3480
173,DB00048,1277
174,DB00048,1280
175,DB00048,1281
176,DB00048,1278
177,DB00050,2798
178,DB00050,3973
179,DB00051,7124
180,DB00052,2690
181,DB00052,5618
182,DB00054,3690
183,DB00054,3674
184,DB00054,2215
185,DB00054,715
186,DB00054,712
187,DB00054,713
188,DB00054,714
189,DB00054,2214
190,DB00054,716
191,DB00054,2209
192,DB00054,2212
193,DB00054,2213
194,DB00054,9103
195,DB00054,7448
196,DB00055,2157
197,DB00055,2153
198,DB00055,5054
199,DB00055,7056
200,DB00055,5627
201,DB00055,1356
202,DB00055,2147
203,DB00055,5196
204,DB00055,5104
205,DB00055,5269
206,DB00055,2677
207,DB00055,10544
208,DB00056,945
209,DB00056,2215
210,DB00056,715
211,DB00056,712
212,DB00056,713
213,DB00056,714
214,DB00056,2214
215,DB00056,716
216,DB00056,2209
217,DB00056,2212
218,DB00056,2213
219,DB00056,9103
220,DB00058,1991
221,DB00059,6906
222,DB00060,3454
223,DB00060,3455
224,DB00061,2885
225,DB00063,3690
226,DB00065,7124
227,DB00066,2492
228,DB00067,554
229,DB00067,552
230,DB00067,553
231,DB00067,1244
232,DB00068,3454
233,DB00068,3455
234,DB00069,3454
235,DB00069,3455
236,DB00070,7040
237,DB00070,213
238,DB00071,3643
239,DB00071,3480
240,DB00071,3416
241,DB00071,3118
242,DB00071,3119
243,DB00071,5925
244,DB00071,1509
245,DB00071,1363
246,DB00071,5126
247,DB00071,5122
248,DB00071,
249,DB00071,4036
250,DB00071,3490
251,DB00071,94121
252,DB00072,2064
253,DB00072,1956
254,DB00072,715
255,DB00072,712
256,DB00072,713
257,DB00072,714
258,DB00072,716
259,DB00072,2209
260,DB00072,2212
261,DB00072,2213
262,DB00072,9103
263,DB00072,2215
264,DB00072,2214
265,DB00072,1588
266,DB00073,931
267,DB00074,3559
268,DB00074,3560
269,DB00074,2209
270,DB00074,2214
271,DB00074,2212
272,DB00074,2213
273,DB00074,9103
274,DB00074,2215
275,DB00074,716
276,DB00074,715
277,DB00074,712
278,DB00074,713
279,DB00074,714
280,DB00075,915
281,DB00075,916
282,DB00075,917
283,DB00075,919
284,DB00075,2215
285,DB00075,715
286,DB00075,712
287,DB00075,713
288,DB00075,714
289,DB00075,2214
290,DB00075,716
291,DB00075,2209
292,DB00075,2212
293,DB00075,2213
294,DB00075,9103
295,DB00078,931
296,DB00078,2215
297,DB00078,715
298,DB00078,712
299,DB00078,713
300,DB00078,714
301,DB00078,2214
302,DB00078,716
303,DB00078,2209
304,DB00078,2212
305,DB00078,2213
306,DB00078,9103
307,DB00081,931
308,DB00081,2215
309,DB00081,715
310,DB00081,712
311,DB00081,713
312,DB00081,714
313,DB00081,2214
